Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Bulto,Caja / Rollo,Unidad / metro / cajita,,
294000116,ALFILER CABEZA COLOR VIDRIO INSUTEX X CAJA (100 UN),905996,MERCERIA,ALFILER CABEZA DE VIDRIO,MERCECOR,CBX,PESOS,810.00,"120,00",,,,,Único
294000117,ALFILER EMPERATRIZ ART 11 95GR Nº3,905997,MERCERIA,ALFILER,MILAN,EMPERATRIZ,PESOS,"8,897.62","120,00",,,,,Único
294000118,ALFILER EMPERATRIZ ART 11 95 GR Nº7,905998,MERCERIA,ALFILER,MILAN,EMPERATRIZ,PESOS,"8,897.62","120,00",,,,,Único
294000119,ALFILER EMPERATRIZ ART 16 46 GR MODISTA,905999,MERCERIA,ALFILER,MILAN,EMPERATRIZ,PESOS,"5,767.43","120,00",,,,,Único
294000120,ALFILER EMPERATRIZ ART 17 25 GR MODISTA,906000,MERCERIA,ALFILER,MILAN,EMPERATRIZ,PESOS,"3,204.13","120,00",,,,,Único
294000121,ALFILER ERIZO (ART 21) x CAJITA,906001,MERCERIA,ALFILER,MILAN,ERIZO,PESOS,557.64,"120,00",,,,,Único
ME576874,ALFILER FANTASIA EN CAJA ACRILICA X50 UNIDADES,909267,MERCERIA,ALFILER,MILAN,FANTASIA,PESOS,"1,855.00","120,00",,,,,Único
294000124,ALFILER GANCHO DORADO/PLATA Nº0 X DOC,906004,MERCERIA,ALFIJER DE GANCHO,MILAN,,PESOS,100.00,"120,00",,,,,Único
2940001232,ALFILER GANCHO ESTILETO ART.36 Nº1 X12U,,MERCERIA,ALFIJER DE GANCHO,MILAN,ESTILETO,PESOS,"1,240.00","120,00",144,12,12,,Único
2940001231,ALFILER GANCHO ESTILETO ART.36 Nº2 X12U,,MERCERIA,ALFIJER DE GANCHO,MILAN,ESTILETO,PESOS,"1,320.70","120,00",144,12,12,,Único
294000122,ALFILER GANCHO ESTILETO ART.36 Nº3 X12U,906002,MERCERIA,ALFIJER DE GANCHO,MILAN,ESTILETO,PESOS,"1,402.90","120,00",144,12,12,,Único
294000123,ALFILER GANCHO ESTILETO ART.36 Nº4 X12U,906003,MERCERIA,ALFIJER DE GANCHO,MILAN,ESTILETO,PESOS,"1,560.98","120,00",144,12,12,,Único
294000125,ALFILER GANCHO NINON SURTIDO GRANDE X1,906005,MERCERIA,ALFIJER DE GANCHO,MILAN,NINON,PESOS,146.86,"120,00",144,12,12,,Único
294000126,ALFILER GANCHO NINON SURTIDO CHICO X1,906007,MERCERIA,ALFIJER DE GANCHO,MILAN,NINON,PESOS,110.23,"120,00",144,12,12,,Único
2940001261,ALFILER GANCHO NINON SURTIDO CHICO X12,906008,MERCERIA,ALFIJER DE GANCHO,MILAN,NINON,PESOS,"1,322.73","120,00",144,12,12,,Único
2940001251,ALFILER GANCHO NINON SURTIDO GRANDE X12,906006,MERCERIA,ALFIJER DE GANCHO,MILAN,NINON,PESOS,"1,762.27","120,00",144,12,12,,Único
294000127,ALFILER KIT CAJA X25GR,906009,MERCERIA,ALFILER,MILAN,KIT,PESOS,895.00,"120,00",,,,,Único
294000128,ALFILER KIT CAJA X46GR,906010,MERCERIA,ALFILER,MILAN,KIT,PESOS,"1,690.00","120,00",,,,,Único
294000129,ALFILER KIT CAJA X48U,906011,MERCERIA,ALFILER,MILAN,KIT,PESOS,315.42,"120,00",1,24,48,,Único
294000130,ALFILETERO MAGNETICO,906012,MERCERIA,ALFILETERO,MILAN,,PESOS,"2,900.00","120,00",,,,,Único
2940001311,ALFILETERO TOMATE CHICO X1,906014,MERCERIA,ALFILETERO,MILAN,CBX,PESOS,760.40,"120,00",,1,6,,Único
29400013111,ALFILETERO TOMATE MEDIANO X1,906015,MERCERIA,ALFILETERO,MILAN,CBX,PESOS,835.52,"120,00",,1,4,,Único
294000131,ALFILETERO TOMATE MEDIANO X4,906013,MERCERIA,ALFILETERO,MILAN,,PESOS,"3,342.07","120,00",,,,,Único
ME131005,ALFILETERO TOMATE MEDIANO X6,906013,MERCERIA,ALFILETERO,MILAN,,PESOS,"4,562.39","120,00",,,,,Único
294000132,ANILINA COLIBRI COMUN,906016,MERCERIA,ANILINA,MILAN,COLIBRI,PESOS,"1,872.50","120,00",,,,,Único
ME131006,ANILINA COLIBRI SINTETICA MANUALIDAD,,,,MILAN,COLIBRI,PESOS,"1,586.00",120,,,,,Único
294000133,ANILLO CORTA HILADOS CBX X UNIDAD,906017,MERCERIA,ANILLO CORTA HILO,,CBX,PESOS,"2,000.00","120,00",,,,,Único
ME54657,APLIQUE AFA DORADO - NEGRO,909252,MERCERIA,APLIQUE,,,PESOS,379.50,"120,00",,,,,Único
ME4971810,APLIQUE BANDERA ARGENTINA CHICO 300-4,909235,MERCERIA,APLIQUE,MILAN,,PESOS,167.84,"120,00",,,,,Único
ME4971813,APLIQUE BANDERA ARGENTINA EXTRA GRANDE 300-7,909238,MERCERIA,APLIQUE,MILAN,,PESOS,392.40,"120,00",,,,,Único
ME4971812,APLIQUE BANDERA ARGENTINA GRANDE 300-6,909237,MERCERIA,APLIQUE,MILAN,,PESOS,335.68,"120,00",,,,,Único
ME4971811,APLIQUE BANDERA ARGENTINA MEDIANO 300-5,909236,MERCERIA,APLIQUE,MILAN,,PESOS,287.07,"120,00",,,,,Único
ME4971809,APLIQUE BANDERA ARGENTINA MINI 300-3,909234,MERCERIA,APLIQUE,MILAN,,PESOS,145.85,"120,00",,,,,Único
ME4971814,APLIQUE BORDADO BANDERA ARGENTINA A805/4 (COMPLETO),909239,MERCERIA,APLIQUE,MILAN,,PESOS,494.45,"120,00",,,,,Único
ME4971815,APLIQUE BORDADO BANDERA ARGENTINA A805/5 (COMPLETO),909240,MERCERIA,APLIQUE,MILAN,,PESOS,533.31,"120,00",,,,,Único
ME4971804,APLIQUE BORDADO BANDERA ARGENTINA CHICO 805/7 (BORDES),909230,MERCERIA,APLIQUE,MILAN,,PESOS,717.66,"120,00",,,,,Único
ME4971807,APLIQUE BORDADO BANDERA ARGENTINA GRANDE 805/10 (BORDES),909233,MERCERIA,APLIQUE,MILAN,,PESOS,"1,462.07","120,00",,,,,Único
ME4971806,APLIQUE BORDADO BANDERA ARGENTINA GRANDE 805/9 (BORDES),909232,MERCERIA,APLIQUE,MILAN,,PESOS,"1,391.02","120,00",,,,,Único
ME4971805,APLIQUE BORDADO BANDERA ARGENTINA MEDIANO 805/8 (BORDES),909231,MERCERIA,APLIQUE,MILAN,,PESOS,"1,088.07","120,00",,,,,Único
