Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
1245541,PEN DRIVE USB 32 GB KINGSTON DTX COLORES,900450,REGALERIA,INFORMATICA,,,PESOS,"2,400.00","120,00"
122445,PEN DRIVE USB 64 GB LEXAR JUMPDRIVE,900446,REGALERIA,INFORMATICA,,,PESOS,"3,500.00","120,00"
REG5785,PEN DRIVE USB 8GB SANDISCK,909608,REGALERIA,INFORMATICA,,,PESOS,"2,200.00","120,00"
204238,PEN DRIVE VERBATIM 16 GB,905429,REGALERIA,INFORMATICA,,,PESOS,"1,478.40","120,00"
204239,PEN DRIVE VERBATIM 32 GB,905430,REGALERIA,INFORMATICA,,,PESOS,"6,480.00","120,00"
201298,POMPONES CBX 15 MM X 25,905099,REGALERIA,POMPON,,,PESOS,566.00,"120,00"
205582,POP BEBE UNICORNIO SHAKY IK0288,905533,REGALERIA,POP,,,PESOS,762.00,"120,00"
205580,POP PERSONAJES SHAKY 289,905531,REGALERIA,POP,,,PESOS,790.00,"120,00"
205579,POP RATON SHAKY 290,905530,REGALERIA,POP,,,PESOS,790.00,"120,00"
REG7899,PORTA LLAVES CON MARCO 497158,909627,REGALERIA,PORTA,,,PESOS,"1,223.00","120,00"
190500003254,PORTACOSMETICO HERMOSURA METALIZADO 1923,904052,REGALERIA,PORTACOSMETICO,,HERMOSURA,PESOS,"3,272.00","120,00"
190500003255,PORTACOSMETICO HERMOSURA PVC FLOREADO 1827,904054,REGALERIA,PORTACOSMETICO,,HERMOSURA,PESOS,"3,409.00","120,00"
190500003256,PORTACOSMETICO HERMOSURA PVC FLOREADO 1828,904056,REGALERIA,PORTACOSMETICO,,HERMOSURA,PESOS,"2,953.00","120,00"
26080000007,PORTACOSMETICO PORTA COSMETICO 39096,905847,REGALERIA,PORTACOSMETICO,,TRENDY,PESOS,"6,700.00","120,00"
REG882,PORTACOSMETICOS NEGRO DB20007,909641,REGALERIA,PORTACOSMETICO,,,PESOS,"3,200.00","120,00"
REG878,PORTACOSMETICOS PRATYS 58014 - 22541,909634,REGALERIA,PORTACOSMETICO,,,PESOS,"1,600.00","120,00"
RE30688,PORTARETRATO 13X18 30688,909511,REGALERIA,PORTARETRATO,,,PESOS,"1,000.00","120,00"
RE30685,PORTARETRATO 15X21 30685,909510,REGALERIA,PORTARETRATO,,,PESOS,"1,200.00","120,00"
RE30689,PORTARETRATO 15X21 30689,909512,REGALERIA,PORTARETRATO,,,PESOS,"1,200.00","120,00"
REG87800,PORTA RETRATO ACRILICO 20 X 30CM,909635,REGALERIA,PORTARETRATO,,,PESOS,"4,115.00","120,00"
190500001641,PORTARETRATO METALIZADO PLASTICO 13 X 18,902322,REGALERIA,PORTARETRATO,,,PESOS,"3,200.00","120,00"
REG7879,PORTARETRATO SIMIL MADERA 13X18 VGO MARCO FINO,5012892800090,REGALERIA,PORTARETRATO,,,PESOS,"2,109.00","120,00"
REG87987,PORTARETRATO SIMIL MADERA 15X21 VGO MARCO FINO,5012892800106,REGALERIA,PORTARETRATO,,,PESOS,"2,600.00","120,00"
RE3062,PORTARETRATO MOLDURA FINA MADERA 13X18 3062,909507,REGALERIA,PORTARETRATO,,,PESOS,"1,500.00","120,00"
RE3063,PORTARETRATO MOLDURA FINA MADERA 15X21 3063,909508,REGALERIA,PORTARETRATO,,,PESOS,"1,950.00","120,00"
190500001640,PORTARETRATO PERLADO 13 X 18 PF108.5,5012250003460,REGALERIA,PORTARETRATO,,,PESOS,"2,110.00","120,00"
REG87879,PORTARETRATO PLASTICO 13X18 PF1055 BDA.6,5012892800038,REGALERIA,PORTARETRATO,,,PESOS,"2,300.00","120,00"
RE30684,PORTARETRATO PLASTICO METALIZADO 24175,909509,REGALERIA,PORTARETRATO,,,PESOS,"3,200.00","120,00"
REBHA1318,PORTARETRATO PLASTICO VGO 13X18 BHA1318,909561,REGALERIA,PORTARETRATO,,VGO,PESOS,"1,690.00","120,00"
REBHA1521,PORTARETRATO PLASTICO VGO 15X21 BHA1521,909562,REGALERIA,PORTARETRATO,,VALUES,PESOS,"1,890.00","120,00"
294000616,PORTARETRATOS A4 EA37 - 02-03 / 02 - 36 CUADRO 20X30CM,906518,REGALERIA,PORTARETRATO,,,PESOS,"2,560.00","120,00"
REG789892,PORTARRETRATO INYECTADO 10 X 15 CM,909626,REGALERIA,PORTARETRATO,,,PESOS,740.00,"120,00"
REG7787,PORTARRETRATO INYECTADO 6 X 9 CM,909620,REGALERIA,PORTARETRATO,,,PESOS,570.00,"120,00"
REG87855,PORTARRETRATO INYECTADO 9 X 13 CM,909636,REGALERIA,PORTARETRATO,,,PESOS,700.00,"120,00"
FAB3400,RELOJ DAMA FABIAN,908202,REGALERIA,RELOJ,,,PESOS,"3,900.00","120,00"
RE205082,RELOJ DAMA SUMERGIBLE DQ2564,909498,REGALERIA,RELOJ,,,PESOS,"5,500.00","120,00"
